,reward_0.4,steps_0.4,end_0.4,reward_0.7,steps_0.7,end_0.7,reward_0.9,steps_0.9,end_0.9,reward_0.999,steps_0.999,end_0.999
4701,-100.5,2,2.0,-193.0,187,1.0,-110.5,22,2.0,-133.0,67,2.0
4702,-129.5,60,2.0,-130.5,62,2.0,-188.5,178,2.0,-198.0,197,1.0
4703,4995.0,11,0.0,-223.5,248,1.0,-113.5,28,1.0,-229.5,260,1.0
4704,-115.5,32,2.0,-113.0,27,1.0,-120.0,41,1.0,-464.0,729,1.0
4705,-116.0,33,1.0,-174.5,150,1.0,-115.0,31,2.0,-190.5,182,1.0
4706,-173.5,148,1.0,-133.5,68,2.0,-250.0,301,2.0,-100.0,1,1.0
4707,-146.0,93,1.0,-164.5,130,1.0,-103.5,8,1.0,-152.5,106,2.0
4708,-147.5,96,2.0,-106.5,14,2.0,-175.0,151,1.0,-350.5,502,1.0
4709,-104.5,10,1.0,4922.0,157,0.0,-159.5,120,1.0,-270.0,341,1.0
4710,-100.0,1,1.0,-322.5,446,1.0,-119.0,39,2.0,-102.5,6,2.0
4711,-142.0,85,2.0,-151.0,103,2.0,-104.5,10,1.0,-101.5,4,1.0
4712,-103.0,7,2.0,-111.0,23,1.0,-140.0,81,2.0,-131.5,64,1.0
4713,-100.5,2,2.0,-102.0,5,1.0,4996.0,9,0.0,4988.5,24,0.0
4714,-122.0,45,1.0,-121.5,44,2.0,-100.0,1,2.0,-358.0,517,1.0
4715,-150.0,101,1.0,4992.5,16,0.0,-278.0,357,2.0,-102.5,6,1.0
4716,-146.5,94,2.0,-109.0,19,1.0,-103.5,8,1.0,-242.5,286,2.0
4717,-112.0,25,2.0,-113.5,28,1.0,-126.5,54,1.0,-106.5,14,1.0
4718,-125.5,52,2.0,4981.0,39,0.0,-105.0,11,2.0,-111.5,24,2.0
4719,-113.0,27,2.0,-181.5,164,2.0,-192.0,185,2.0,-100.0,1,1.0
4720,-157.5,116,2.0,-136.5,74,2.0,-138.0,77,1.0,-102.0,5,1.0
4721,-125.5,52,1.0,-101.5,4,1.0,-184.5,170,1.0,-271.0,343,1.0
4722,-150.0,101,1.0,-100.0,1,2.0,-102.5,6,1.0,-109.5,20,1.0
4723,-252.5,306,1.0,-104.0,9,1.0,-100.0,1,1.0,-188.0,177,1.0
4724,-104.5,10,2.0,-125.0,51,2.0,-320.0,441,2.0,-325.0,451,2.0
4725,-113.5,28,2.0,4951.5,98,0.0,-117.0,35,2.0,-104.0,9,1.0
4726,-110.0,21,1.0,-170.5,142,1.0,-100.5,2,1.0,-100.0,1,1.0
4727,-102.0,5,2.0,-168.5,138,2.0,-132.5,66,2.0,-103.5,8,1.0
4728,-116.0,33,2.0,-100.0,1,2.0,-113.5,28,2.0,-146.0,93,2.0
4729,-111.0,23,1.0,-102.0,5,2.0,-111.0,23,2.0,-248.0,297,1.0
4730,-137.5,76,1.0,-101.0,3,2.0,-234.5,270,2.0,4992.0,17,0.0
4731,-109.0,19,1.0,-111.0,23,2.0,-111.0,23,1.0,-150.0,101,2.0
