,reward_0.2,steps_0.2,end_0.2,reward_0.4,steps_0.4,end_0.4,reward_0.6,steps_0.6,end_0.6,reward_0.8,steps_0.8,end_0.8
5823,4997.5,6,0.0,4925.5,150,0.0,-151.0,103,2.0,4999.5,2,0.0
5824,4983.5,34,0.0,4991.0,19,0.0,4990.5,20,0.0,4936.0,129,0.0
5825,4998.5,4,0.0,4999.0,3,0.0,4995.5,10,0.0,4964.5,72,0.0
5826,4993.5,14,0.0,4997.0,7,0.0,4934.5,132,0.0,4999.5,2,0.0
5827,4987.5,26,0.0,4995.5,10,0.0,4995.5,10,0.0,4996.0,9,0.0
5828,4989.5,22,0.0,4992.5,16,0.0,4944.0,113,0.0,-105.0,11,2.0
5829,4997.5,6,0.0,4999.0,3,0.0,4935.0,131,0.0,4996.0,9,0.0
5830,-758.0,1317,2.0,4987.5,26,0.0,4893.0,215,0.0,-115.0,31,2.0
5831,4991.5,18,0.0,4985.0,31,0.0,4874.5,252,0.0,-104.5,10,2.0
5832,4997.5,6,0.0,4998.0,5,0.0,4987.0,27,0.0,-100.5,2,1.0
5833,4992.5,16,0.0,4995.0,11,0.0,4986.5,28,0.0,4996.0,9,0.0
5834,4998.5,4,0.0,4995.5,10,0.0,4982.0,37,0.0,4942.5,116,0.0
5835,4986.0,29,0.0,4989.0,23,0.0,4996.0,9,0.0,4983.5,34,0.0
5836,4999.0,3,0.0,4994.5,12,0.0,-105.0,11,1.0,-100.5,2,1.0
5837,4992.0,17,0.0,4985.0,31,0.0,4863.5,274,0.0,4914.5,172,0.0
5838,4994.0,13,0.0,4988.0,25,0.0,-102.5,6,2.0,-120.0,41,2.0
5839,4989.0,23,0.0,4994.5,12,0.0,4989.5,22,0.0,-134.5,70,2.0
5840,4999.0,3,0.0,4985.0,31,0.0,4961.5,78,0.0,-102.0,5,1.0
5841,4990.5,20,0.0,4990.0,21,0.0,-108.5,18,2.0,4990.0,21,0.0
5842,4998.0,5,0.0,4997.0,7,0.0,-100.0,1,2.0,4948.5,104,0.0
5843,4742.5,516,0.0,4998.5,4,0.0,-100.0,1,2.0,-110.0,21,1.0
5844,4988.5,24,0.0,4989.0,23,0.0,-101.0,3,1.0,-114.5,30,2.0
5845,-1000.0,2000,,4996.0,9,0.0,-133.5,68,1.0,-113.5,28,1.0
5846,4989.5,22,0.0,-102.5,6,2.0,4997.0,7,0.0,-121.0,43,2.0
5847,4667.0,667,0.0,-149.5,100,2.0,4997.5,6,0.0,4991.5,18,0.0
5848,4994.0,13,0.0,4980.0,41,0.0,4990.0,21,0.0,4945.5,110,0.0
5849,4992.5,16,0.0,4970.5,60,0.0,-115.5,32,2.0,-107.0,15,2.0
5850,4780.5,440,0.0,4966.0,69,0.0,4996.0,9,0.0,-167.0,135,2.0
5851,4993.0,15,0.0,4998.0,5,0.0,4912.0,177,0.0,-104.5,10,1.0
5852,4990.0,21,0.0,4994.0,13,0.0,4989.5,22,0.0,-121.5,44,2.0
5853,4989.0,23,0.0,4995.5,10,0.0,-100.0,1,2.0,-130.5,62,2.0
5854,4997.0,7,0.0,4995.0,11,0.0,-101.5,4,2.0,4993.0,15,0.0
5855,4970.5,60,0.0,-100.0,1,1.0,4943.5,114,0.0,4997.5,6,0.0
5856,4995.5,10,0.0,4843.0,315,0.0,4942.5,116,0.0,-126.0,53,2.0
5857,4996.0,9,0.0,4983.5,34,0.0,4952.5,96,0.0,4992.5,16,0.0
5858,4989.5,22,0.0,4949.5,102,0.0,4974.0,53,0.0,-185.0,171,2.0
5859,4995.0,11,0.0,4993.5,14,0.0,-169.5,140,2.0,-100.0,1,2.0
5860,4996.5,8,0.0,4976.0,49,0.0,4985.5,30,0.0,4982.0,37,0.0
5861,4999.0,3,0.0,4989.0,23,0.0,-123.5,48,1.0,-100.0,1,2.0
5862,4994.0,13,0.0,4993.0,15,0.0,4971.0,59,0.0,4991.0,19,0.0
5863,-161.0,123,2.0,4985.5,30,0.0,-132.5,66,1.0,-101.5,4,2.0
5864,4990.0,21,0.0,4993.5,14,0.0,4994.0,13,0.0,4992.0,17,0.0
5865,4996.0,9,0.0,-112.5,26,2.0,4989.5,22,0.0,4878.5,244,0.0
5866,4999.0,3,0.0,4997.5,6,0.0,4997.0,7,0.0,4992.0,17,0.0
5867,4994.5,12,0.0,4986.5,28,0.0,-102.0,5,1.0,4969.5,62,0.0
5868,4912.0,177,0.0,4985.0,31,0.0,4980.5,40,0.0,4973.5,54,0.0
5869,4995.5,10,0.0,4986.5,28,0.0,4994.5,12,0.0,4994.5,12,0.0
