,reward_0.1,steps_0.1,end_0.1,reward_0.3,steps_0.3,end_0.3,reward_0.6,steps_0.6,end_0.6,reward_0.9,steps_0.9,end_0.9
268,-109.5,20,2.0,-123.0,47,1.0,-102.5,6,2.0,4997.5,6,0.0
269,4866.5,268,0.0,4893.0,215,0.0,-101.0,3,1.0,-102.5,6,2.0
270,-135.0,71,1.0,-104.0,9,1.0,-100.0,1,1.0,-277.0,355,2.0
271,-177.5,156,1.0,-127.0,55,2.0,-227.0,255,1.0,-201.0,203,2.0
272,-273.0,347,1.0,-125.5,52,1.0,-112.0,25,2.0,-103.5,8,2.0
273,-146.0,93,1.0,-122.5,46,2.0,-118.0,37,2.0,-103.0,7,1.0
274,-1000.0,2000,,-163.5,128,2.0,-114.0,29,2.0,-103.0,7,2.0
275,-296.5,394,2.0,4923.0,155,0.0,-141.5,84,2.0,-100.0,1,1.0
276,4963.0,75,0.0,4995.0,11,0.0,-154.5,110,2.0,-108.5,18,1.0
277,-1000.0,2000,,-102.0,5,1.0,-155.0,111,2.0,-106.5,14,1.0
278,-154.0,109,2.0,-113.5,28,2.0,-112.5,26,2.0,-149.0,99,1.0
279,-333.0,467,1.0,-117.0,35,1.0,-101.5,4,1.0,-176.5,154,2.0
280,-117.0,35,2.0,-109.5,20,1.0,-100.5,2,1.0,-112.0,25,2.0
281,4959.0,83,0.0,-135.5,72,1.0,-117.5,36,2.0,-136.0,73,1.0
282,4994.0,13,0.0,-155.5,112,1.0,-100.5,2,2.0,-101.5,4,1.0
283,-113.5,28,2.0,-133.5,68,1.0,-139.0,79,1.0,-127.0,55,2.0
284,-318.5,438,2.0,-410.5,622,1.0,-108.5,18,1.0,4990.5,20,0.0
285,-183.0,167,2.0,-105.5,12,1.0,4941.5,118,0.0,-107.5,16,2.0
286,4978.5,44,0.0,-104.0,9,1.0,-177.5,156,2.0,-184.5,170,1.0
287,5000.0,1,0.0,-107.0,15,2.0,4724.5,552,0.0,-123.0,47,2.0
288,-246.5,294,1.0,-921.0,1643,1.0,-109.0,19,2.0,-207.0,215,1.0
289,-130.0,61,2.0,-106.0,13,1.0,-121.5,44,1.0,4979.0,43,0.0
290,4956.0,89,0.0,4923.5,154,0.0,-132.0,65,2.0,-170.5,142,1.0
291,-1000.0,2000,,-164.5,130,1.0,4983.5,34,0.0,-100.5,2,2.0
292,4916.5,168,0.0,-103.5,8,2.0,-137.0,75,1.0,-133.5,68,1.0
293,4766.0,469,0.0,-119.0,39,2.0,-139.5,80,2.0,-124.5,50,2.0
294,4969.5,62,0.0,-222.0,245,1.0,-103.0,7,2.0,-107.0,15,1.0
